Sl. No.,State/UT,2019 (30.08.19 - 31.12.2019) - Anonymous - Complaint Reported,2019 (30.08.19 - 31.12.2019) - Anonymous - FIR,2019 (30.08.19 - 31.12.2019) - Report and Track - Complaint Reported,2019 (30.08.19 - 31.12.2019) - Report and Track - FIR,2020 (01.01.2020 - 31.12.2020) - Anonymous - Complaint Reported,2020 (01.01.2020 - 31.12.2020) - Anonymous - FIR,2020 (01.01.2020 - 31.12.2020) - Report and Track - Complaint Reported,2020 (01.01.2020 - 31.12.2020) - Report and Track - FIR,2021 (01.01.2021 - 31.12.2021) - Anonymous - Complaint Reported,2021 (01.01.2021 - 31.12.2021) - Anonymous - FIR,2021 (01.01.2021 - 31.12.2021) - Report and Track - Complaint Reported,2021 (01.01.2021 - 31.12.2021) - Report and Track - FIR,2022 (01.01.2022 - 31.12.2022) - Anonymous - Complaint Reported,2022 (01.01.2022 - 31.12.2022) - Anonymous - FIR,2022 (01.01.2022 - 31.12.2022) - Report and Track - Complaint Reported,2022 (01.01.2022 - 31.12.2022) - Report and Track - FIR
1,Andaman and Nicobar,4,0,0,0,18,1,2,0,13,0,4,0,11,0,10,0
2,Andhra Pradesh,52,0,15,0,472,0,212,0,548,0,240,0,674,0,355,0
3,Arunachal Pradesh,2,0,0,0,7,0,2,0,15,0,6,0,14,0,9,0
4,Assam,26,0,1,0,177,0,0,0,245,0,15,0,319,0,1,0
5,Bihar,80,1,36,3,746,0,413,0,969,1,649,3,1270,0,685,3
6,Chandigarh,9,0,4,1,85,0,22,3,91,0,20,0,140,0,44,0
7,Chhattisgarh,6,0,6,3,183,8,48,7,219,4,67,7,296,0,51,3
8,Dadra and Nagar Haveli and Daman and Diu,2,0,0,0,11,1,4,0,15,0,5,0,15,0,8,1
9,Delhi,218,0,20,0,2215,1,112,1,2294,2,15,1,3274,3,9,2
10,Goa,2,0,0,0,33,1,19,0,38,0,22,0,43,0,26,0
11,Gujarat,73,0,30,0,739,1,178,1,788,0,69,1,944,0,93,2
12,Haryana,49,0,32,0,674,0,43,2,680,1,108,4,1081,0,54,8
13,Himachal Pradesh,13,0,2,0,121,0,34,0,140,0,17,0,189,0,22,0
14,Jammu and Kashmir,2,0,0,0,134,2,59,0,184,0,101,0,225,0,122,0
15,Jharkhand,25,0,13,0,276,0,192,0,307,0,211,0,373,0,193,0
16,Karnataka,135,0,51,0,1134,0,597,4,1340,0,581,2,1636,0,846,3
17,Kerala,33,0,3,0,319,0,8,0,615,1,6,0,425,0,28,0
18,Ladakh,0,0,0,0,5,1,2,0,8,0,1,0,3,0,0,0
19,Lakshadweep,0,0,0,0,1,0,0,0,3,0,0,0,7,0,0,0
20,Madhya Pradesh,45,1,10,1,744,2,81,0,874,2,60,2,1030,0,81,1
21,Maharashtra,158,1,80,1,2195,0,1110,4,2280,2,745,0,2713,0,591,0
22,Manipur,2,0,1,0,8,0,2,0,30,0,12,0,19,0,8,0
23,Meghalaya,0,0,0,0,6,0,4,0,13,0,8,0,20,0,11,0
24,Mizoram,0,0,0,0,5,0,2,0,8,0,1,0,10,0,4,0
25,Nagaland,2,0,1,0,10,0,4,0,12,0,2,0,16,0,7,0
26,Odisha,19,0,2,0,243,0,67,0,332,0,180,0,387,0,233,0
27,Puducherry,1,0,0,0,20,0,11,0,64,0,11,0,57,1,17,0
28,Punjab,30,0,13,0,477,6,65,2,492,2,98,4,764,4,297,5
29,Rajasthan,48,0,13,1,743,1,69,1,916,0,10,0,1171,0,2,0
30,Sikkim,0,0,1,0,7,0,3,0,494,0,7,0,10,0,7,0
31,Tamil Nadu,188,0,63,0,1338,0,510,0,2648,0,893,0,4115,1,1520,0
32,Telangana,72,1,25,0,773,0,296,0,1513,0,385,0,2343,0,649,0
33,Tripura,2,0,0,0,33,1,16,0,27,0,20,0,45,0,28,0
34,Uttarakhand,21,0,1,0,291,0,10,1,287,0,1,0,345,0,22,0
35,Uttar Pradesh,179,0,63,3,2185,0,33,0,2443,0,72,0,3717,0,108,0
36,West Bengal,72,0,36,3,1032,0,497,4,26148,0,313,4,28401,0,104,4
Total,Total,1570,4,522,16,17460,26,4727,30,47093,15,4955,28,56102,9,6245,32
